Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-02-10 00:00:00-05:00,35.322614437702875,35.88982763328763,35.005014423519896,35.07746505737305,60314000,0.0,0.0
2016-02-11 00:00:00-05:00,34.55590397378592,35.34891195345928,34.30033530375536,35.05314636230469,65004000,0.0,0.0
2016-02-12 00:00:00-05:00,35.343456625432225,35.531534471514185,34.81594059566735,35.07945251464844,46538000,0.0,0.0
2016-02-16 00:00:00-05:00,35.66303530156529,35.87295128843676,35.24271113609207,35.6129150390625,43444000,0.0,0.0
2016-02-17 00:00:00-05:00,36.077413561552575,36.412880176036566,35.56181229796392,36.32405090332031,49154000,0.0,0.0
2016-02-18 00:00:00-05:00,36.42279846482288,36.524030947870976,35.50919972559641,35.60646438598633,47276000,0.0,0.0
2016-02-19 00:00:00-05:00,35.526570854269394,35.9300242604359,35.38861327826768,35.83474349975586,34918000,0.0,0.0
2016-02-22 00:00:00-05:00,36.201968339968566,36.46696819616972,35.90124293059618,36.179141998291016,37516000,0.0,0.0
2016-02-23 00:00:00-05:00,36.03274938142795,36.27094750302534,35.515160469463424,35.595550537109375,41332000,0.0,0.0
2016-02-24 00:00:00-05:00,35.26405492416314,35.79057900104926,34.83777895976725,35.774696350097656,37092000,0.0,0.0
2016-02-25 00:00:00-05:00,35.875436496998525,36.201967897549466,35.39407291341634,36.1826171875,36146000,0.0,0.0
2016-02-26 00:00:00-05:00,36.40492978892983,36.53196825623458,35.826301638539846,35.97120666503906,42474000,0.0,0.0
2016-02-29 00:00:00-05:00,35.77965720290548,36.25605718743341,35.573216831001,35.59207534790039,45068000,0.0,0.0
2016-03-01 00:00:00-05:00,35.794541843770894,36.83815870012453,35.662539806016646,36.83021926879883,60112000,0.0,0.0
2016-03-02 00:00:00-05:00,36.864966563013084,36.87736979811991,36.38757073850472,36.69673538208008,36292000,0.0,0.0
2016-03-03 00:00:00-05:00,36.69672572574861,36.77215600291866,36.20791875067873,36.30518341064453,40534000,0.0,0.0
2016-03-04 00:00:00-05:00,36.46448832473148,36.47441166882942,36.00892694411916,36.237205505371094,48516000,0.0,0.0
2016-03-07 00:00:00-05:00,35.98560372350222,36.08783195977834,34.99260677267381,35.37273406982422,61690000,0.0,0.0
2016-03-08 00:00:00-05:00,35.15388572215254,35.84168966543364,34.93603406638649,35.408958435058594,52530000,0.0,0.0
2016-03-09 00:00:00-05:00,35.49034314010095,36.03969351753278,35.36578454779973,35.998504638671875,39544000,0.0,0.0
2016-03-10 00:00:00-05:00,36.11661346324506,36.550832634597626,35.893302260985735,36.3339729309082,44616000,0.0,0.0
2016-03-11 00:00:00-05:00,36.720060660648514,36.9657022587994,36.55877696090083,36.96421432495117,35380000,0.0,0.0
2016-03-14 00:00:00-04:00,36.96917341270694,37.43019053998108,36.90416244829631,37.23069763183594,32824000,0.0,0.0
2016-03-15 00:00:00-04:00,37.02127923653466,37.36816088720215,36.86347118063561,37.247074127197266,29832000,0.0,0.0
2016-03-16 00:00:00-04:00,37.171641552241276,37.66541214221778,37.04509904299183,37.58402633666992,29306000,0.0,0.0
2016-03-17 00:00:00-04:00,37.598413784293754,37.9800289743035,37.584022854900866,37.63960266113281,44564000,0.0,0.0
2016-03-18 00:00:00-04:00,37.7959236914242,37.82122991989948,37.30910061096213,37.48725509643555,56222000,0.0,0.0
2016-03-21 00:00:00-04:00,37.41281102224258,37.88077551431877,37.281800955015676,37.82221984863281,28774000,0.0,0.0
2016-03-22 00:00:00-04:00,37.637619957109884,37.96315937349524,37.609830053102485,37.71751403808594,22096000,0.0,0.0
2016-03-23 00:00:00-04:00,37.88127856302047,37.982514838530285,37.518022104148095,37.59394836425781,24678000,0.0,0.0
